Date,Close/Last,Open,High,Low
01/16/2026,7927.41,7972.87,8008.46,7885.91
01/15/2026,7837.30,7960.96,7998.12,7833.95
01/14/2026,7701.47,7688.50,7707.38,7598.51
01/13/2026,7747.99,7725.08,7825.88,7715.88
01/12/2026,7674.84,7574.24,7703.14,7568.07
01/09/2026,7638.78,7471.32,7678.89,7467.83
01/08/2026,7436.10,7543.25,7548.31,7372.79
01/07/2026,7574.87,7554.78,7601.06,7512.85
01/06/2026,7650.93,7542.61,7665.77,7521.95
01/05/2026,7446.45,7570.44,7577.28,7415.69
01/02/2026,7367.47,7288.67,7418.25,7286.34
12/31/2025,7083.13,7184.85,7193.50,7082.65
12/30/2025,7169.10,7206.05,7229.76,7167.02
12/29/2025,7178.27,7116.15,7205.22,7098.77
12/26/2025,7207.64,7229.66,7233.06,7188.57
12/24/2025,7204.37,7191.72,7212.55,7173.27
12/23/2025,7184.54,7118.39,7186.39,7091.46
12/22/2025,7145.57,7204.02,7206.39,7120.04
12/19/2025,7067.86,6942.46,7095.01,6942.46
